Id,SalePrice
1461,119508.74
1462,165849.22
1463,192250.86
1464,198110.14
1465,173036.02
1466,173830.83
1467,170633.61
1468,164407.8
1469,186381.61
1470,127478.67
1471,203294.14
1472,97673.47
1473,96423.65
1474,153415.11
1475,122625.375
1476,382993.6
1477,264797.6
1478,299774.34
1479,249679.89
1480,526163.7
1481,329745.66
1482,214274.88
1483,169480.39
1484,176139.23
1485,173618.17
1486,192384.67
1487,366521.72
1488,232343.47
1489,211974.31
1490,231506.81
1491,187604.53
1492,80232.664
1493,197033.72
1494,288715.7
1495,278346.8
1496,241415.64
1497,178986.0
1498,170052.69
1499,164776.66
1500,159102.84
1501,180993.31
1502,150394.7
1503,300344.38
1504,228390.83
1505,228767.39
1506,198194.28
1507,243989.3
1508,201229.9
1509,169433.83
1510,150660.05
1511,139102.45
1512,171147.0
1513,140851.34
1514,175194.94
1515,201624.31
1516,154311.06
1517,158350.06
1518,131316.34
1519,227765.58
1520,136500.88
1521,140138.4
1522,159820.5
1523,113376.6
1524,128138.68
1525,123867.14
1526,122053.2
1527,107470.63
1528,133901.6
1529,148183.97
1530,182495.06
1531,70829.32
1532,94317.33
1533,143253.67
1534,121401.56
1535,154090.77
1536,107232.99
1537,64041.375
1538,184018.22
1539,195413.52
1540,86510.33
1541,139021.7
1542,134109.92
1543,231870.53
1544,73628.85
1545,114075.0
1546,128772.66
1547,131205.6
1548,142805.88
1549,124973.16
1550,152010.81
1551,110282.87
1552,136188.42
1553,146072.36
1554,103186.66
1555,164888.23
1556,74055.09
1557,109623.6
1558,92455.516
1559,75288.766
1560,133307.39
1561,143858.88
1562,125229.37
1563,123413.21
1564,153912.42
1565,144677.2
1566,217715.52
1567,70949.1
1568,217374.42
1569,141372.83
1570,126723.445
1571,120154.28
1572,148959.84
1573,237135.77
1574,117205.34
1575,221603.73
1576,236572.08
1577,199132.02
1578,145091.48
1579,159912.95
1580,197693.62
1581,163143.33
1582,125707.52
1583,322579.66
1584,232183.52
1585,140554.16
1586,69334.66
1587,94133.52
1588,150284.38
1589,105226.82
1590,132503.0
1591,94002.64
1592,120158.64
1593,124743.945
1594,135426.23
1595,113745.22
1596,245063.12
1597,196412.33
1598,219202.17
1599,175131.69
1600,172098.53
1601,69097.77
1602,105571.33
1603,65578.56
1604,272813.22
1605,236190.11
1606,173650.3
1607,190010.05
1608,217701.98
1609,188837.12
1610,167168.67
1611,140818.81
1612,167029.7
1613,156021.48
1614,122814.45
1615,90400.9
1616,68530.766
1617,95371.89
1618,127789.92
1619,139445.02
1620,157604.39
1621,136273.14
1622,157547.16
1623,293255.0
1624,208937.31
1625,126886.06
1626,159890.05
1627,187151.84
1628,277821.06
1629,182645.34
1630,408586.3
1631,232646.61
1632,247507.08
1633,173183.1
1634,187578.23
1635,181842.95
1636,155123.42
1637,187144.55
1638,194682.61
1639,175544.47
1640,255203.78
1641,179349.83
1642,227397.69
1643,212119.08
1644,222154.58
1645,201075.48
1646,157463.4
